Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BB McCullum,2005-2012,57,57,8,1704,123,34.77,1278,133.33,2,9,2,165,68
DPMD Jayawardene,2006-2012,44,44,6,1224,100,32.21,915,133.77,1,7,3,139,28
KP Pietersen,2005-2012,36,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
DA Warner,2009-2012,42,42,1,1109,89,27.04,798,138.97,0,8,5,106,51
TM Dilshan,2006-2012,46,45,7,1098,104*,28.89,892,123.09,1,6,6,129,21
KC Sangakkara,2006-2012,43,41,5,1080,78,30.00,893,120.94,0,6,1,110,16
MJ Guptill,2009-2012,38,36,6,1018,101*,33.93,821,123.99,1,4,2,92,43
CH Gayle,2006-2012,31,30,3,985,117,36.48,681,144.64,1,10,2,87,59
GC Smith,2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
SR Watson,2006-2012,36,35,3,980,81,30.62,660,148.48,0,10,3,74,62
JP Duminy,2007-2012,42,39,10,952,96*,32.82,778,122.36,0,4,6,76,29
G Gambhir,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
Mohammad Hafeez,2006-2012,42,40,0,927,71,23.17,812,114.16,0,4,3,105,21
Shoaib Malik,2006-2012,52,48,12,873,57*,24.25,803,108.71,0,3,1,71,17
Umar Akmal,2009-2012,42,39,7,863,64,26.96,735,117.41,0,4,5,66,23
LRPL Taylor,2006-2012,47,43,8,853,63,24.37,710,120.14,0,4,3,54,36
Kamran Akmal,2006-2012,49,44,6,848,73,22.31,686,123.61,0,5,5,82,27
Shahid Afridi,2006-2012,58,55,5,845,54*,16.90,591,142.97,0,4,6,70,32
SK Raina,2006-2012,36,32,7,840,101,33.60,617,136.14,1,3,1,76,30
EJG Morgan,2009-2012,32,32,10,812,85*,36.90,611,132.89,0,4,0,74,27
Yuvraj Singh,2007-2012,33,31,5,791,72,30.42,532,148.68,0,6,0,45,54
Misbah-ul-Haq,2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26
AB de Villiers,2006-2012,44,42,7,782,79*,22.34,648,120.67,0,4,4,57,24
DJ Hussey,2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34
MS Dhoni,2006-2012,42,39,15,748,48*,31.16,651,114.90,0,0,1,51,20
MEK Hussey,2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25
CL White,2007-2012,38,35,10,712,85*,28.48,533,133.58,0,3,2,41,38
JH Kallis,2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
ST Jayasuriya,2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
